train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.2M
epoch 1, train 1.2049|0.5111, val 0.6970|0.5361, tval_ff 0.7054|0.5217, tval_bd 0.7028|0.5375, tval_hd_comb 0.6977|0.5125, tval_hd_novel 0.6871|0.5391, 7.0m 7.0m/11.7h
epoch 2, train 0.6933|0.5493, val 0.6907|0.5256, tval_ff 0.6922|0.5267, tval_bd 0.6721|0.5896, tval_hd_comb 0.7044|0.5513, tval_hd_novel 0.6871|0.5812, 7.0m 14.0m/11.7h
epoch 3, train 0.6839|0.5698, val 0.6829|0.5511, tval_ff 0.6926|0.5325, tval_bd 0.6860|0.5594, tval_hd_comb 0.6918|0.5562, tval_hd_novel 0.6844|0.5563, 7.0m 21.0m/11.7h
epoch 4, train 0.6780|0.5676, val 0.6879|0.5606, tval_ff 0.6920|0.5358, tval_bd 0.6739|0.5833, tval_hd_comb 0.6940|0.5475, tval_hd_novel 0.6672|0.5938, 7.0m 28.0m/11.7h
epoch 5, train 0.6794|0.5662, val 0.6988|0.5406, tval_ff 0.6967|0.5158, tval_bd 0.7033|0.5469, tval_hd_comb 0.6985|0.5513, tval_hd_novel 0.7012|0.5422, 7.0m 35.0m/11.7h
epoch 6, train 0.6806|0.5773, val 0.6885|0.5494, tval_ff 0.6870|0.5433, tval_bd 0.6805|0.5688, tval_hd_comb 0.6943|0.5525, tval_hd_novel 0.6633|0.6031, 7.0m 42.0m/11.7h
epoch 7, train 0.6802|0.5680, val 0.6818|0.5739, tval_ff 0.6932|0.5475, tval_bd 0.6787|0.5500, tval_hd_comb 0.6727|0.5538, tval_hd_novel 0.6751|0.5656, 7.0m 49.0m/11.7h
epoch 8, train 0.6804|0.5613, val 0.6793|0.5722, tval_ff 0.6919|0.5258, tval_bd 0.6816|0.5740, tval_hd_comb 0.6980|0.5412, tval_hd_novel 0.6672|0.5844, 7.0m 56.0m/11.7h
epoch 9, train 0.6755|0.5791, val 0.7007|0.5433, tval_ff 0.6916|0.5292, tval_bd 0.6684|0.5844, tval_hd_comb 0.7156|0.5325, tval_hd_novel 0.6956|0.5937, 7.0m 1.0h/11.7h
epoch 10, train 0.6779|0.5760, val 0.6863|0.5494, tval_ff 0.6917|0.5300, tval_bd 0.6742|0.5802, tval_hd_comb 0.6914|0.5625, tval_hd_novel 0.6765|0.5984, 7.0m 1.2h/11.7h
epoch 11, train 0.6628|0.5862, val 0.7074|0.5472, tval_ff 0.7001|0.5525, tval_bd 0.6850|0.5896, tval_hd_comb 0.7442|0.5475, tval_hd_novel 0.7110|0.5766, 7.0m 1.3h/11.7h
