train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 1, train 0.6883|0.5591, val 0.6875|0.5544, tval_ff 0.6934|0.5092, tval_bd 0.6890|0.5302, tval_hd_comb 0.6943|0.5338, tval_hd_novel 0.6625|0.6078, 7.4m 7.4m/12.3h
epoch 2, train 0.6886|0.5427, val 0.6904|0.5356, tval_ff 0.6928|0.5317, tval_bd 0.6863|0.5979, tval_hd_comb 0.6858|0.5337, tval_hd_novel 0.6834|0.5437, 7.4m 14.8m/12.3h
epoch 3, train 0.6887|0.5471, val 0.6898|0.5494, tval_ff 0.6929|0.5150, tval_bd 0.6898|0.5708, tval_hd_comb 0.6881|0.5512, tval_hd_novel 0.6930|0.5562, 7.4m 22.1m/12.3h
epoch 4, train 0.6850|0.5591, val 0.6877|0.5428, tval_ff 0.6921|0.5333, tval_bd 0.6845|0.6313, tval_hd_comb 0.6943|0.5263, tval_hd_novel 0.6738|0.6016, 7.4m 29.5m/12.3h
epoch 5, train 0.6812|0.5724, val 0.6839|0.5383, tval_ff 0.6914|0.5033, tval_bd 0.6799|0.6021, tval_hd_comb 0.6879|0.5587, tval_hd_novel 0.6965|0.5797, 7.4m 36.9m/12.3h
epoch 6, train 0.6818|0.5844, val 0.6890|0.5583, tval_ff 0.6900|0.5567, tval_bd 0.6853|0.5958, tval_hd_comb 0.6844|0.5463, tval_hd_novel 0.6839|0.5469, 7.3m 44.2m/12.3h
epoch 7, train 0.6821|0.5773, val 0.6826|0.5633, tval_ff 0.6941|0.5192, tval_bd 0.6768|0.6260, tval_hd_comb 0.6702|0.5850, tval_hd_novel 0.6813|0.5453, 7.4m 51.6m/12.3h
epoch 8, train 0.6806|0.5827, val 0.6865|0.5594, tval_ff 0.6913|0.5242, tval_bd 0.6789|0.6063, tval_hd_comb 0.7007|0.5275, tval_hd_novel 0.6698|0.5938, 7.3m 58.9m/12.3h
epoch 9, train 0.6756|0.5889, val 0.6868|0.5483, tval_ff 0.6896|0.5475, tval_bd 0.6692|0.6385, tval_hd_comb 0.7118|0.5088, tval_hd_novel 0.6780|0.5813, 7.3m 1.1h/12.3h
epoch 10, train 0.6775|0.5973, val 0.6834|0.5850, tval_ff 0.6878|0.5658, tval_bd 0.6789|0.6385, tval_hd_comb 0.6805|0.5575, tval_hd_novel 0.6698|0.5781, 7.3m 1.2h/12.3h
epoch 11, train 0.6719|0.5836, val 0.6830|0.5750, tval_ff 0.6892|0.5550, tval_bd 0.6777|0.6427, tval_hd_comb 0.6886|0.5437, tval_hd_novel 0.6697|0.5766, 7.3m 1.3h/12.3h
epoch 12, train 0.6804|0.5889, val 0.6815|0.5817, tval_ff 0.6899|0.5567, tval_bd 0.6731|0.6375, tval_hd_comb 0.6845|0.5637, tval_hd_novel 0.6745|0.5656, 7.3m 1.5h/12.3h
epoch 13, train 0.6702|0.6062, val 0.6824|0.5567, tval_ff 0.6881|0.5775, tval_bd 0.6776|0.6000, tval_hd_comb 0.6984|0.5150, tval_hd_novel 0.6876|0.5438, 7.3m 1.6h/12.3h
epoch 14, train 0.6740|0.5982, val 0.6858|0.5567, tval_ff 0.6879|0.5417, tval_bd 0.6669|0.6406, tval_hd_comb 0.7060|0.5562, tval_hd_novel 0.6639|0.6125, 7.3m 1.7h/12.3h
epoch 15, train 0.6738|0.5916, val 0.6775|0.5872, tval_ff 0.6914|0.5250, tval_bd 0.6681|0.6385, tval_hd_comb 0.6855|0.5813, tval_hd_novel 0.6832|0.6016, 7.3m 1.8h/12.3h
epoch 16, train 0.6718|0.6067, val 0.6846|0.5794, tval_ff 0.6838|0.5700, tval_bd 0.6734|0.6000, tval_hd_comb 0.6604|0.6025, tval_hd_novel 0.6548|0.6047, 7.3m 2.0h/12.3h
epoch 17, train 0.6749|0.6013, val 0.6741|0.5950, tval_ff 0.6870|0.5800, tval_bd 0.6646|0.6760, tval_hd_comb 0.6769|0.5600, tval_hd_novel 0.6726|0.5797, 7.3m 2.1h/12.3h
