train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 1, train 1.0180|0.5627, val 0.6889|0.5850, tval_ff 0.6951|0.5117, tval_bd 0.6756|0.5875, tval_hd_comb 0.7125|0.5400, tval_hd_novel 0.6624|0.6031, 3.9m 3.9m/6.5h
epoch 2, train 1.0194|0.5716, val 0.6920|0.5550, tval_ff 0.6928|0.5208, tval_bd 0.6804|0.6240, tval_hd_comb 0.6961|0.5250, tval_hd_novel 0.6830|0.5734, 3.9m 7.8m/6.5h
epoch 3, train 1.0080|0.5573, val 0.6897|0.5544, tval_ff 0.6875|0.5583, tval_bd 0.6768|0.5969, tval_hd_comb 0.6918|0.5562, tval_hd_novel 0.6872|0.5641, 3.9m 11.7m/6.5h
epoch 4, train 0.9895|0.5724, val 0.6868|0.5611, tval_ff 0.6932|0.5150, tval_bd 0.6738|0.6292, tval_hd_comb 0.6988|0.5425, tval_hd_novel 0.6786|0.6031, 3.9m 15.6m/6.5h
epoch 5, train 0.9762|0.5987, val 0.6867|0.5444, tval_ff 0.6888|0.5225, tval_bd 0.6730|0.5813, tval_hd_comb 0.6958|0.5562, tval_hd_novel 0.7165|0.5563, 3.9m 19.5m/6.5h
epoch 6, train 0.9817|0.5902, val 0.6914|0.5650, tval_ff 0.6854|0.5608, tval_bd 0.6733|0.5927, tval_hd_comb 0.6850|0.5425, tval_hd_novel 0.6889|0.5516, 3.9m 23.4m/6.5h
epoch 7, train 0.9801|0.5831, val 0.6891|0.5622, tval_ff 0.6922|0.5308, tval_bd 0.6510|0.6312, tval_hd_comb 0.6900|0.5875, tval_hd_novel 0.7022|0.5766, 3.9m 27.3m/6.5h
epoch 8, train 0.9703|0.5929, val 0.6998|0.5800, tval_ff 0.6949|0.5467, tval_bd 0.6543|0.6208, tval_hd_comb 0.7545|0.5487, tval_hd_novel 0.7053|0.5781, 3.9m 31.2m/6.5h
epoch 9, train 0.9630|0.5902, val 0.6887|0.5606, tval_ff 0.6874|0.5442, tval_bd 0.6571|0.6229, tval_hd_comb 0.7248|0.5200, tval_hd_novel 0.6717|0.6172, 3.9m 35.1m/6.5h
epoch 10, train 0.9738|0.5942, val 0.6856|0.5811, tval_ff 0.6865|0.5425, tval_bd 0.6568|0.6427, tval_hd_comb 0.7043|0.5613, tval_hd_novel 0.6620|0.5969, 3.9m 39.0m/6.5h
epoch 11, train 0.9578|0.5969, val 0.6780|0.5889, tval_ff 0.6880|0.5667, tval_bd 0.6632|0.6562, tval_hd_comb 0.6871|0.5475, tval_hd_novel 0.6657|0.5922, 3.9m 42.9m/6.5h
epoch 12, train 0.9764|0.5938, val 0.6926|0.5678, tval_ff 0.6898|0.5483, tval_bd 0.6467|0.6396, tval_hd_comb 0.7177|0.5725, tval_hd_novel 0.6924|0.5516, 3.9m 46.9m/6.5h
epoch 13, train 0.9528|0.6049, val 0.6861|0.5739, tval_ff 0.6813|0.5925, tval_bd 0.6522|0.6115, tval_hd_comb 0.7555|0.5400, tval_hd_novel 0.6935|0.5875, 3.9m 50.8m/6.5h
epoch 14, train 0.9615|0.6049, val 0.6826|0.5861, tval_ff 0.6875|0.5325, tval_bd 0.6466|0.6385, tval_hd_comb 0.7083|0.5425, tval_hd_novel 0.6669|0.5875, 3.9m 54.7m/6.5h
epoch 15, train 0.9529|0.5951, val 0.6799|0.5811, tval_ff 0.6881|0.5383, tval_bd 0.6571|0.6469, tval_hd_comb 0.7021|0.5700, tval_hd_novel 0.6968|0.5797, 3.9m 58.6m/6.5h
epoch 16, train 0.9571|0.6040, val 0.6925|0.5856, tval_ff 0.6807|0.5883, tval_bd 0.6855|0.6125, tval_hd_comb 0.6877|0.5900, tval_hd_novel 0.6714|0.6391, 3.9m 1.0h/6.5h
epoch 17, train 0.9519|0.6027, val 0.6855|0.5833, tval_ff 0.6781|0.5825, tval_bd 0.6476|0.6385, tval_hd_comb 0.7127|0.5475, tval_hd_novel 0.6919|0.5813, 3.9m 1.1h/6.5h
epoch 18, train 0.9366|0.5982, val 0.6833|0.5878, tval_ff 0.6840|0.5692, tval_bd 0.6515|0.6406, tval_hd_comb 0.7083|0.5537, tval_hd_novel 0.6839|0.5703, 3.9m 1.2h/6.5h
